"Cr_peptideName","All_GO"
"Ceric.11G066600.5.p","GO:0001522, GO:0003723, GO:0009451, GO:0009982, "
"Ceric.11G066700.1.p",""
"Ceric.11G066800.1.p",""
"Ceric.11G066900.1.p",""
"Ceric.11G066900.2.p",""
"Ceric.11G066900.3.p",""
"Ceric.11G067000.1.p","GO:0003824, GO:0004556, GO:0005509, GO:0005975, GO:0043169, "
"Ceric.11G067000.2.p","GO:0003824, GO:0004556, GO:0005509, GO:0005975, GO:0043169, "
"Ceric.11G067000.3.p","GO:0003824, GO:0004556, GO:0005509, GO:0005975, GO:0043169, "
"Ceric.11G067000.4.p","GO:0003824, GO:0004556, GO:0005509, GO:0005975, GO:0043169, "
"Ceric.11G067100.1.p",""
"Ceric.11G067200.1.p",""
"Ceric.11G067300.1.p","GO:0000786, GO:0003677, "
"Ceric.11G067400.1.p",""
"Ceric.11G067500.1.p","GO:0006629, GO:0016021, GO:0016491, "
"Ceric.11G067500.2.p","GO:0006629, GO:0016021, GO:0016491, "
"Ceric.11G067500.3.p","GO:0006629, GO:0016021, GO:0016491, "
"Ceric.11G067500.4.p","GO:0006629, GO:0016021, GO:0016491, "
"Ceric.11G067500.5.p","GO:0006629, GO:0016021, GO:0016491, "
"Ceric.11G067500.6.p","GO:0006629, GO:0016021, GO:0016491, "
"Ceric.11G067600.1.p",""
"Ceric.11G067700.1.p",""
"Ceric.11G067700.2.p",""
"Ceric.11G067700.3.p",""
"Ceric.11G067700.4.p",""
"Ceric.11G067700.5.p",""
"Ceric.11G067800.1.p",""
"Ceric.11G067900.1.p","GO:0004857, "
"Ceric.11G068000.1.p","GO:0004857, "
"Ceric.11G068100.1.p","GO:0004857, "
"Ceric.11G068200.1.p","GO:0004857, "
"Ceric.11G068300.1.p","GO:0004857, "
"Ceric.11G068400.1.p","GO:0004857, "
"Ceric.11G068500.1.p","GO:0004857, "
"Ceric.11G068600.1.p",""
"Ceric.11G068700.1.p",""
"Ceric.11G068800.1.p","GO:0004857, "
"Ceric.11G068800.2.p","GO:0004857, "
"Ceric.11G068900.1.p","GO:0004842, GO:0016567, "
"Ceric.11G068900.2.p","GO:0004842, GO:0016567, "
"Ceric.11G068900.3.p","GO:0004842, GO:0016567, "
"Ceric.11G068900.4.p","GO:0004842, GO:0016567, "
"Ceric.11G068900.5.p","GO:0004842, GO:0016567, "
"Ceric.11G068900.6.p","GO:0004842, GO:0016567, "
"Ceric.11G068900.7.p","GO:0004842, GO:0016567, "
"Ceric.11G069000.1.p","GO:0005515, GO:0008270, "
"Ceric.11G069000.2.p","GO:0005515, GO:0008270, "
"Ceric.11G069000.3.p","GO:0005515, GO:0008270, "
"Ceric.11G069000.4.p","GO:0005515, GO:0008270, "
"Ceric.11G069000.5.p","GO:0005515, GO:0008270, "
"Ceric.11G069000.6.p",""
"Ceric.11G069000.7.p","GO:0005515, GO:0008270, "
"Ceric.11G069100.1.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, "
"Ceric.11G069100.2.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, "
"Ceric.11G069100.3.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, "
"Ceric.11G069100.4.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, "
"Ceric.11G069200.1.p","GO:0008270"
"Ceric.11G069200.2.p","GO:0008270, "
"Ceric.11G069200.3.p","GO:0008270, "
"Ceric.11G069200.4.p","GO:0008270, "
"Ceric.11G069200.5.p","GO:0008270, "
"Ceric.11G069300.1.p","GO:0003677, GO:0006355, "
"Ceric.11G069400.1.p","GO:0003676, GO:0003677, GO:0006355, GO:0008270"
"Ceric.11G069400.2.p","GO:0003676, GO:0003677, GO:0006355, GO:0008270, "
"Ceric.11G069500.1.p",""
"Ceric.11G069600.1.p",", GO:0005515"
"Ceric.11G069600.2.p",""
"Ceric.11G069700.1.p",""
"Ceric.11G069700.2.p",""
"Ceric.11G069700.3.p",""
"Ceric.11G069700.4.p",""
"Ceric.11G069800.1.p",", GO:0005515"
"Ceric.11G069900.1.p",""
"Ceric.11G070000.1.p","GO:0005515, "
"Ceric.11G070000.2.p","GO:0005515, "
"Ceric.11G070000.3.p","GO:0005515, "
"Ceric.11G070000.4.p",""
"Ceric.11G070000.5.p",""
"Ceric.11G070000.6.p",""
"Ceric.11G070000.7.p",""
"Ceric.11G070100.1.p",""
"Ceric.11G070200.1.p","GO:0000166, GO:0016021, GO:0046872, "
"Ceric.11G070300.1.p","GO:0016021, "
"Ceric.11G070400.1.p",""
"Ceric.11G070500.1.p",""
"Ceric.11G070600.1.p",""
"Ceric.11G070700.1.p",""
"Ceric.11G070800.1.p",""
"Ceric.11G070900.1.p",""
"Ceric.11G071000.1.p",""
"Ceric.11G071100.1.p",""
"Ceric.11G071200.1.p",""
"Ceric.11G071200.2.p",""
"Ceric.11G071300.1.p",""
"Ceric.11G071300.2.p",""
"Ceric.11G071400.1.p","GO:0015986, GO:0045261, GO:0046933, GO:0046961, GO:0033178, GO:0016820, GO:0015991, GO:0005524, "
"Ceric.11G071500.1.p","GO:0005515, "
"Ceric.11G071600.1.p","GO:0005515, "
"Ceric.11G071700.1.p","GO:0005515, "
"Ceric.11G071800.1.p","GO:0003677, GO:0046983, "
"Ceric.11G071900.1.p","GO:0000387, GO:0000398, GO:0005681, "
"Ceric.11G071900.2.p","GO:0000245, GO:0000387, GO:0000398, GO:0005681, "
"Ceric.11G072000.1.p","GO:0005524, GO:0009378, GO:0006310, GO:0006281"
"Ceric.11G072000.2.p","GO:0005524, "
"Ceric.11G072000.3.p","GO:0005524, "
"Ceric.11G072000.4.p","GO:0005524, GO:0006281, GO:0006310, GO:0009378, "
"Ceric.11G072100.1.p",""
"Ceric.11G072200.1.p","GO:0003676, "
"Ceric.11G072300.1.p",""
"Ceric.11G072400.1.p","GO:0016491, GO:0055114, "
"Ceric.11G072400.10.p","GO:0016491, GO:0055114, "
"Ceric.11G072400.2.p","GO:0016491, GO:0055114, "
"Ceric.11G072400.3.p","GO:0016491, GO:0055114, "
"Ceric.11G072400.4.p","GO:0016491, GO:0055114, "
"Ceric.11G072400.5.p","GO:0016491, GO:0055114, "
"Ceric.11G072400.6.p",""
"Ceric.11G072400.7.p",""
"Ceric.11G072400.8.p",""
"Ceric.11G072400.9.p",""
"Ceric.11G072500.1.p","GO:0016779, "
"Ceric.11G072500.2.p","GO:0016779, "
"Ceric.11G072500.3.p","GO:0016779, "
"Ceric.11G072500.4.p","GO:0016779, "
"Ceric.11G072500.5.p","GO:0016779, "
"Ceric.11G072500.6.p","GO:0016779, "
"Ceric.11G072500.7.p","GO:0016779, "
"Ceric.11G072500.8.p","GO:0016779, "
"Ceric.11G072500.9.p","GO:0016779, "
"Ceric.11G072600.1.p","GO:0016491, GO:0055114"
"Ceric.11G072600.2.p","GO:0016491, GO:0055114, "
"Ceric.11G072600.3.p","GO:0016491, GO:0055114, "
"Ceric.11G072700.1.p","GO:0003824, GO:0008152, , GO:0055114, GO:0020037, GO:0006979, GO:0004601"
"Ceric.11G072700.2.p","GO:0003824, GO:0008152, "
"Ceric.11G072800.1.p","GO:0003677, GO:0004879, GO:0005199, GO:0005634, GO:0006355, "
"Ceric.11G072900.1.p",""
"Ceric.11G073000.1.p",""
"Ceric.11G073000.2.p",""
"Ceric.11G073000.3.p",""
"Ceric.11G073000.4.p",""
"Ceric.11G073000.5.p",""
"Ceric.11G073100.1.p","GO:0005515, , GO:0006468, GO:0005524, GO:0004672"
"Ceric.11G073200.1.p",""
"Ceric.11G073300.1.p","GO:0003677, GO:0005634, "
"Ceric.11G073400.1.p","GO:0004452, GO:0008299, GO:0016787"
"Ceric.11G073500.1.p","GO:0016779, "
"Ceric.11G073500.2.p","GO:0016779, "
"Ceric.11G073500.3.p","GO:0016779, "
"Ceric.11G073500.4.p","GO:0016779, "
"Ceric.11G073500.5.p","GO:0016779, "
"Ceric.11G073500.6.p","GO:0016779, "
"Ceric.11G073600.1.p","GO:0004645, GO:0005975, GO:0008184, GO:0030170, "
"Ceric.11G073600.2.p","GO:0004645, GO:0005975, GO:0008184, GO:0030170, "
"Ceric.11G073700.1.p",""
"Ceric.11G073700.2.p",""
"Ceric.11G073700.3.p",""
"Ceric.11G073700.4.p",""
"Ceric.11G073700.5.p",""
"Ceric.11G073800.1.p",""
"Ceric.11G073800.2.p",""
"Ceric.11G073900.1.p",""
"Ceric.11G074000.1.p",""
"Ceric.11G074000.2.p",""
"Ceric.11G074100.1.p","GO:0003697, GO:0070188, "
"Ceric.11G074100.2.p","GO:0003697, GO:0070188, "
"Ceric.11G074100.3.p","GO:0003697, GO:0070188, "
"Ceric.11G074200.1.p",""
"Ceric.11G074200.2.p",""
"Ceric.11G074300.1.p",""
"Ceric.11G074400.1.p",""
"Ceric.11G074500.1.p","GO:0015986, GO:0045261, GO:0046933, GO:0046961, GO:0033178, GO:0016820, GO:0015991, GO:0005524, "
"Ceric.11G074600.1.p","GO:0005524, GO:0015991, GO:0015992, GO:0016820, GO:0033178, GO:0046034, "
"Ceric.11G074700.1.p","GO:0000287, GO:0015977, GO:0016984, "
"Ceric.11G074800.1.p","GO:0009522, GO:0015979, "
"Ceric.11G074900.1.p","GO:0005524, GO:0015992, GO:0046034, "
"Ceric.11G075000.1.p","GO:0000287, , GO:0016984, GO:0015977"
"Ceric.11G075100.1.p","GO:0009512, "
"Ceric.11G075200.1.p","GO:0015979, GO:0015995, GO:0016491, GO:0055114, "
"Ceric.11G075300.1.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, "
"Ceric.11G075400.1.p",""
"Ceric.11G075500.1.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, GO:0015935, "
"Ceric.11G075600.1.p",""
"Ceric.11G075700.1.p","GO:0015078, GO:0015986, GO:0045263, "
"Ceric.11G075800.1.p","GO:0004553, GO:0005975, GO:0004575, GO:0004564, "
"Ceric.11G075800.2.p","GO:0004553, GO:0005975, "
"Ceric.11G075900.1.p",""
"Ceric.11G075900.2.p",""
"Ceric.11G076000.1.p","GO:0016020, "
"Ceric.11G076100.1.p",""
"Ceric.11G076200.1.p",""
"Ceric.11G076300.1.p","GO:0006508, , GO:0008270, GO:0008237"
"Ceric.11G076400.1.p",""
"Ceric.11G076400.2.p",""
"Ceric.11G076400.3.p",""
"Ceric.11G076400.4.p",""
"Ceric.11G076400.5.p",""
"Ceric.11G076500.1.p","GO:0016020, "
"Ceric.11G076600.1.p",""
"Ceric.11G076600.2.p",""
"Ceric.11G076700.1.p",""
"Ceric.11G076800.1.p",""
"Ceric.11G076800.2.p",""
"Ceric.11G076900.1.p",""
"Ceric.11G076900.2.p",""
"Ceric.11G076900.3.p",""
"Ceric.11G076900.4.p",""
"Ceric.11G076900.5.p",""
"Ceric.11G076900.6.p",""
"Ceric.11G076900.7.p",""
"Ceric.11G077000.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G077000.2.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G077000.3.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G077000.4.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G077000.5.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G077000.6.p","GO:0004672, GO:0005524, GO:0006468, "
"Ceric.11G077000.7.p",""
"Ceric.11G077100.1.p",""
"Ceric.11G077100.2.p",""
"Ceric.11G077100.3.p",""
"Ceric.11G077100.4.p",""
"Ceric.11G077200.1.p","GO:0005737, GO:0006464, GO:0009107, GO:0016415"
"Ceric.11G077300.1.p","GO:0003676, "
"Ceric.11G077400.1.p","GO:0003913, GO:0006281, "
"Ceric.11G077400.2.p","GO:0003913, GO:0006281, "
"Ceric.11G077400.3.p","GO:0003913, GO:0006281, "
"Ceric.11G077400.4.p","GO:0003913, GO:0006281, "
"Ceric.11G077400.5.p","GO:0003913, GO:0006281, "
"Ceric.11G077500.1.p",""
"Ceric.11G077500.2.p",""
"Ceric.11G077600.1.p","GO:0003824, GO:0008152"
"Ceric.11G077700.1.p","GO:0003824, GO:0008152"
"Ceric.11G077800.1.p","GO:0003677, GO:0003697, GO:0005524, GO:0006259, GO:0006281, GO:0008094, GO:0009432, "
"Ceric.11G077800.2.p","GO:0003677, GO:0003697, GO:0005524, GO:0006259, GO:0006281, GO:0008094, GO:0009432, "
"Ceric.11G077900.1.p",""
"Ceric.11G078000.1.p",""
"Ceric.11G078100.1.p",""
"Ceric.11G078200.1.p",", GO:0005515"
"Ceric.11G078200.2.p",""
"Ceric.11G078300.1.p",""
"Ceric.11G078400.1.p",""
"Ceric.11G078400.2.p",""
"Ceric.11G078400.3.p",""
"Ceric.11G078400.4.p",""
"Ceric.11G078400.5.p",""
"Ceric.11G078400.6.p",""
"Ceric.11G078400.7.p",""
"Ceric.11G078400.8.p",""
"Ceric.11G078500.1.p","GO:0005750, GO:0006122"
"Ceric.11G078600.1.p",", GO:0016021"
"Ceric.11G078700.1.p",""
"Ceric.11G078800.1.p",""
"Ceric.11G078900.1.p",""
"Ceric.11G078900.2.p",""
"Ceric.11G079000.1.p",""
"Ceric.11G079100.1.p","GO:0005515, GO:0008270, "
"Ceric.11G079200.1.p","GO:0003677, GO:0005634, GO:0006351, GO:0003682, "
"Ceric.11G079200.2.p","GO:0003677, GO:0005634, GO:0006351, "
"Ceric.11G079200.3.p","GO:0003677, GO:0005634, GO:0006351, "
"Ceric.11G079200.4.p","GO:0003677, GO:0005634, GO:0006351, "
"Ceric.11G079200.5.p","GO:0003677, GO:0005634, GO:0006351, "
"Ceric.11G079200.6.p","GO:0003677, GO:0005634, GO:0006351, "
"Ceric.11G079200.7.p","GO:0003677, GO:0005634, GO:0006351, "
"Ceric.11G079200.8.p","GO:0003677, GO:0005634, GO:0006351, "
"Ceric.11G079300.1.p",""
"Ceric.11G079300.2.p",""
"Ceric.11G079300.3.p",""
"Ceric.11G079400.1.p",""
"Ceric.11G079500.1.p","GO:0000786, GO:0003677, GO:0005634, "
"Ceric.11G079600.1.p",""
"Ceric.11G079600.2.p",""
"Ceric.11G079600.3.p",""
"Ceric.11G079700.1.p",""
"Ceric.11G079800.1.p","GO:0005267, GO:0016020, GO:0071805, , GO:0005509"
"Ceric.11G079800.2.p","GO:0005267, GO:0016020, GO:0071805, "
"Ceric.11G079800.3.p","GO:0005267, GO:0016020, GO:0071805, "
"Ceric.11G079800.4.p","GO:0005267, GO:0016020, GO:0071805, "
"Ceric.11G079900.1.p","GO:0009733, "
"Ceric.11G080000.1.p","GO:0009733, "
"Ceric.11G080100.1.p",""
"Ceric.11G080200.1.p",""
"Ceric.11G080200.2.p",""
"Ceric.11G080200.3.p",""
"Ceric.11G080200.4.p",""
"Ceric.11G080200.5.p",""
"Ceric.11G080200.6.p",""
"Ceric.11G080300.1.p",""
"Ceric.11G080300.2.p",""
"Ceric.11G080300.3.p",""
"Ceric.11G080300.4.p",""
"Ceric.11G080300.5.p",""
"Ceric.11G080300.6.p",""
"Ceric.11G080300.7.p",""
"Ceric.11G080300.8.p",""
"Ceric.11G080300.9.p",""
"Ceric.11G080400.1.p","GO:0009523, GO:0009539, GO:0015979, "
"Ceric.11G080500.1.p","GO:0003676, "
"Ceric.11G080500.2.p","GO:0003676, "
"Ceric.11G080500.3.p","GO:0003676, "
"Ceric.11G080500.4.p","GO:0003676, "
"Ceric.11G080500.5.p","GO:0003676, "
"Ceric.11G080500.6.p","GO:0003676, "
"Ceric.11G080500.7.p","GO:0003676, "
"Ceric.11G080600.1.p",""
"Ceric.11G080600.2.p",""
"Ceric.11G080600.3.p",""
"Ceric.11G080700.1.p",""
"Ceric.11G080800.1.p",""
"Ceric.11G080900.1.p","GO:0003676"
"Ceric.11G080900.2.p","GO:0003676, "
"Ceric.11G080900.3.p","GO:0003676, "
"Ceric.11G081000.1.p",""
"Ceric.11G081100.1.p","GO:0003676, "
"Ceric.11G081100.2.p","GO:0003676, "
"Ceric.11G081200.1.p",""
"Ceric.11G081200.2.p",""
"Ceric.11G081200.3.p",""
"Ceric.11G081200.4.p",""
"Ceric.11G081300.1.p",""
"Ceric.11G081400.1.p","GO:0005515, GO:0008270"
"Ceric.11G081400.2.p","GO:0005515, GO:0008270, "
"Ceric.11G081400.3.p","GO:0005515, GO:0008270, "
"Ceric.11G081500.1.p",""
"Ceric.11G081600.1.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, "
"Ceric.11G081700.1.p","GO:0046872, "
"Ceric.11G081800.1.p",""
"Ceric.11G081800.2.p",""
"Ceric.11G081800.3.p",""
"Ceric.11G081800.4.p",""
"Ceric.11G081800.5.p",""
"Ceric.11G081800.6.p",""
"Ceric.11G081800.7.p",""
"Ceric.11G081800.8.p",""
"Ceric.11G081900.1.p",""
"Ceric.11G081900.2.p",""
"Ceric.11G081900.3.p",""
"Ceric.11G081900.4.p",""
"Ceric.11G081900.5.p",""
"Ceric.11G082000.1.p",""
"Ceric.11G082000.2.p",""
"Ceric.11G082000.3.p",""
"Ceric.11G082100.1.p",""
"Ceric.11G082200.1.p","GO:0004553, GO:0005975"
"Ceric.11G082200.2.p","GO:0004553, GO:0005975, "
"Ceric.11G082300.1.p",""
"Ceric.11G082400.1.p","GO:0008146, "
"Ceric.11G082400.2.p","GO:0008146, "
"Ceric.11G082400.3.p","GO:0008146, "
"Ceric.11G082500.1.p","GO:0005515, GO:0051087, , GO:0005509"
"Ceric.11G082600.1.p",""
"Ceric.11G082600.2.p",""
"Ceric.11G082600.3.p",""
"Ceric.11G082600.4.p",""
"Ceric.11G082600.5.p",""
"Ceric.11G082700.1.p",""
"Ceric.11G082800.1.p",""
"Ceric.11G082800.2.p",""
"Ceric.11G082800.3.p",""
"Ceric.11G082800.4.p",""
"Ceric.11G082900.1.p","GO:0004185, GO:0006508, "
"Ceric.11G082900.2.p","GO:0004185, GO:0006508, "
"Ceric.11G082900.3.p","GO:0004185, GO:0006508, "
"Ceric.11G082900.4.p","GO:0004185, GO:0006508, "
"Ceric.11G082900.5.p","GO:0004185, GO:0006508, "
"Ceric.11G082900.6.p","GO:0004185, GO:0006508, "
"Ceric.11G082900.7.p","GO:0004185, GO:0006508, "
"Ceric.11G083000.1.p",""
"Ceric.11G083100.1.p","GO:0000786, GO:0003677, GO:0005634, "
"Ceric.11G083200.1.p",""
"Ceric.11G083200.2.p",""
"Ceric.11G083200.3.p",""
"Ceric.11G083300.1.p",""
"Ceric.11G083400.1.p",""
"Ceric.11G083500.1.p","GO:0005515"
"Ceric.11G083500.10.p","GO:0005515, "
"Ceric.11G083500.11.p","GO:0005515, "
"Ceric.11G083500.12.p","GO:0005515, "
"Ceric.11G083500.2.p","GO:0005515, "
"Ceric.11G083500.3.p","GO:0005515, "
"Ceric.11G083500.4.p","GO:0005515, "
"Ceric.11G083500.5.p","GO:0005515, "
"Ceric.11G083500.6.p","GO:0005515, "
"Ceric.11G083500.7.p","GO:0005515, "
"Ceric.11G083500.8.p","GO:0005515, "
"Ceric.11G083500.9.p","GO:0005515, "
"Ceric.11G083600.1.p",""
"Ceric.11G083700.1.p",""
"Ceric.11G083800.1.p",""
"Ceric.11G083800.2.p",""
"Ceric.11G083900.1.p",""
"Ceric.11G084000.1.p",", GO:0016021, GO:0004872"
"Ceric.11G084100.1.p",""
"Ceric.11G084200.1.p","GO:0008270, GO:0016491, GO:0055114"
"Ceric.11G084200.2.p","GO:0008270, GO:0016491, GO:0055114, "
"Ceric.11G084300.1.p",""
"Ceric.11G084400.1.p","GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006414, "
"Ceric.11G084400.2.p","GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006414, "
"Ceric.11G084400.3.p","GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006414, "
"Ceric.11G084400.4.p","GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006414, "
"Ceric.11G084400.5.p","GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006414, "
"Ceric.11G084500.1.p","GO:0003676, GO:0008270, "
"Ceric.11G084500.2.p","GO:0003676, GO:0008270, "
"Ceric.11G084600.1.p",""
"Ceric.11G084700.1.p",""
"Ceric.11G084700.2.p",""
"Ceric.11G084700.3.p",""
"Ceric.11G084800.1.p",""
"Ceric.11G084900.1.p","GO:0055085, "
"Ceric.11G084900.2.p","GO:0055085, "
"Ceric.11G084900.3.p","GO:0055085, "
"Ceric.11G084900.4.p","GO:0055085, "
"Ceric.11G085000.1.p","GO:0004347, GO:0006094, GO:0006096"
"Ceric.11G085100.1.p","GO:0005515, "
"Ceric.11G085200.1.p",""
"Ceric.11G085200.2.p",""
"Ceric.11G085200.3.p",""
"Ceric.11G085300.1.p",""
"Ceric.11G085300.2.p",""
"Ceric.11G085300.3.p",""
"Ceric.11G085300.4.p",""
"Ceric.11G085300.5.p",""
"Ceric.11G085300.6.p",""
"Ceric.11G085400.1.p",""
"Ceric.11G085500.1.p","GO:0005515, GO:0046872, "
"Ceric.11G085500.2.p","GO:0005515, GO:0046872, "
"Ceric.11G085500.3.p","GO:0005515, GO:0046872, "
"Ceric.11G085500.4.p","GO:0005515, GO:0046872, "
"Ceric.11G085500.5.p","GO:0005515, GO:0046872, "
"Ceric.11G085600.1.p",""
"Ceric.11G085700.1.p",""
"Ceric.11G085800.1.p",""
"Ceric.11G085900.1.p",""
"Ceric.11G086000.1.p",""
"Ceric.11G086100.1.p",""
"Ceric.11G086200.1.p",""
"Ceric.11G086200.2.p",""
"Ceric.11G086200.3.p",""
"Ceric.11G086300.1.p","GO:0005515, GO:0006508, GO:0008236"
"Ceric.11G086300.2.p","GO:0005515, GO:0006508, GO:0008236, "
"Ceric.11G086300.3.p","GO:0005515, GO:0006508, GO:0008236, "
"Ceric.11G086300.4.p","GO:0005515, GO:0006508, GO:0008236, "
"Ceric.11G086300.5.p","GO:0005515, GO:0006508, GO:0008236, "
"Ceric.11G086400.1.p",""
"Ceric.11G086500.1.p","GO:0003676, "
"Ceric.11G086500.2.p","GO:0003676, "
"Ceric.11G086600.1.p",""
"Ceric.11G086700.1.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412"
"Ceric.11G086800.1.p","GO:0003676"
"Ceric.11G086800.2.p","GO:0003676, "
"Ceric.11G086900.1.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G086900.10.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G086900.2.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G086900.3.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G086900.4.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G086900.5.p","GO:0005524, "
"Ceric.11G086900.6.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G086900.7.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G086900.8.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G086900.9.p","GO:0003677, GO:0005524, GO:0016787, "
"Ceric.11G087000.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468"
"Ceric.11G087000.2.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G087000.3.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G087000.4.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G087000.5.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.11G087100.1.p","GO:0003677, "
"Ceric.11G087200.1.p",""
"Ceric.11G087200.2.p",""
"Ceric.11G087300.1.p","GO:0016117, GO:0016705"
"Ceric.11G087300.2.p","GO:0016117, GO:0016705, "
"Ceric.11G087300.3.p","GO:0016117, GO:0016705, "
"Ceric.11G087400.1.p",""
"Ceric.11G087500.1.p","GO:0006810, GO:0016021, , GO:0055085"
"Ceric.11G087600.1.p",""
"Ceric.11G087600.2.p",""
"Ceric.11G087600.3.p",""
"Ceric.11G087600.4.p",""
"Ceric.11G087700.1.p",""
"Ceric.11G087800.1.p",""
"Ceric.11G087900.1.p",""
"Ceric.11G088000.1.p",""
"Ceric.11G088100.1.p",""
"Ceric.11G088100.2.p",""
"Ceric.11G088200.1.p","GO:0005509, "
"Ceric.11G088300.1.p","GO:0005509, "
"Ceric.11G088400.1.p","GO:0005509, "
"Ceric.11G088400.2.p","GO:0005509, "
"Ceric.11G088500.1.p","GO:0005509, "
"Ceric.11G088500.2.p","GO:0005509, "
"Ceric.11G088500.3.p","GO:0005509, "
"Ceric.11G088600.1.p","GO:0005509, "
"Ceric.11G088600.2.p","GO:0005509, "
"Ceric.11G088700.1.p","GO:0005509, "
"Ceric.11G088700.2.p","GO:0005509, "
"Ceric.11G088700.3.p","GO:0005509, "
"Ceric.11G088700.4.p","GO:0005509, "
"Ceric.11G088800.1.p",""
"Ceric.11G088900.1.p",", GO:0005515"
"Ceric.11G089000.1.p","GO:0005515, "
"Ceric.11G089100.1.p","GO:0005509, "
"Ceric.11G089200.1.p","GO:0005509, "
"Ceric.11G089300.1.p","GO:0005509, "
"Ceric.11G089400.1.p","GO:0005509, "
"Ceric.11G089400.2.p","GO:0005509, "
"Ceric.11G089500.1.p","GO:0005509, "
"Ceric.11G089600.1.p","GO:0005509, "
"Ceric.11G089600.2.p","GO:0005509, "
"Ceric.11G089600.3.p","GO:0005509, "
"Ceric.11G089700.1.p","GO:0005509, "
"Ceric.11G089700.2.p","GO:0005509, "
"Ceric.11G089800.1.p","GO:0005509, "
"Ceric.11G089800.2.p","GO:0005509, "
"Ceric.11G089800.3.p","GO:0005509, "
"Ceric.11G089900.1.p",""
"Ceric.11G090000.1.p","GO:0005515, "
"Ceric.11G090100.1.p",""
"Ceric.11G090200.1.p","GO:0004252, GO:0006508, "
"Ceric.11G090300.1.p",""
"Ceric.11G090400.1.p",""
"Ceric.11G090500.1.p",""
"Ceric.11G090500.2.p",""
"Ceric.11G090500.3.p",""
"Ceric.11G090500.4.p",""
"Ceric.11G090500.5.p",""
"Ceric.11G090500.6.p",""
"Ceric.11G090600.1.p",""
"Ceric.11G090600.2.p",""
"Ceric.11G090600.3.p",""
"Ceric.11G090600.4.p",""
"Ceric.11G090700.1.p",""
"Ceric.11G090800.1.p",""
"Ceric.11G090900.1.p",""
"Ceric.11G091000.1.p",""
"Ceric.11G091100.1.p",""
"Ceric.11G091100.2.p",""
"Ceric.11G091200.1.p",""
"Ceric.11G091300.1.p","GO:0004540, GO:0008033"
"Ceric.11G091400.1.p",""
"Ceric.11G091500.1.p",""
"Ceric.11G091600.1.p",""
"Ceric.11G091600.2.p",""
"Ceric.11G091700.1.p",""
"Ceric.11G091700.2.p",""
"Ceric.11G091800.1.p",""
"Ceric.11G091900.1.p","GO:0003676"
"Ceric.11G092000.1.p",""
"Ceric.11G092100.1.p",""
"Ceric.11G092100.2.p",""
"Ceric.11G092200.1.p",""
"Ceric.11G092200.10.p",""
"Ceric.11G092200.11.p",""
"Ceric.11G092200.12.p",""
"Ceric.11G092200.13.p",""
"Ceric.11G092200.14.p",""
"Ceric.11G092200.15.p",""
"Ceric.11G092200.2.p",""
"Ceric.11G092200.3.p",""
"Ceric.11G092200.4.p",""
"Ceric.11G092200.5.p",""
"Ceric.11G092200.6.p",""
"Ceric.11G092200.7.p",""
"Ceric.11G092200.8.p",""
"Ceric.11G092200.9.p",""
"Ceric.11G092300.1.p",""
"Ceric.11G092400.1.p","GO:0003676, "
"Ceric.11G092500.1.p",""
"Ceric.11G092500.2.p",""
"Ceric.11G092600.1.p","GO:0005515, "
"Ceric.11G092700.1.p","GO:0003676, GO:0046872, "
"Ceric.11G092700.2.p","GO:0003676, GO:0046872, "
"Ceric.11G092700.3.p","GO:0003676, GO:0046872, "
