geneID,logFC,logCPM,F,PValue,FDR,GO,GOterms,Best-hit-arabi-name,Best-hit-arabi-defline,Best-hit-clamy-name,Best-hit-clamy-defline,Best-hit-rice-name,Best-hit-rice-defline,Pfam,Panther,ec,KOG,KO
Ceric.10G020600.1,3.120919438336,0.5402179884507963,46.06970640344828,9.185588201993511e-5,3.0980905338641717e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.18G006900.1,1.188028396592185,8.273223931831776,45.57574613192744,9.188837389979131e-5,3.098726386565769e-4,GO:0003723 GO:0003735 GO:0006412 GO:0015934,RNA binding; structural constituent of ribosome; translation; large ribosomal subunit,AT1G08360,Ribosomal protein L1p/L10e family,Cre02.g101350,Cytosolic 80S ribosomal protein L10a,LOC_Os08g44380,"L1P family of ribosomal proteins domain containing protein, expressed",PF00687,PTHR23105 PTHR23105:SF44,NA,KOG1570,K02865
Ceric.32G057300.1,1.2351891432088882,4.316231842229194,45.54267188864749,9.215188999176452e-5,3.1066286552086994e-4,GO:0016491 GO:0055114,oxidoreductase activity; ,AT1G57770,FAD/NAD(P)-binding oxidoreductase family protein,Cre16.g674950,"Putative all-trans-retinol 13,14-reductase",LOC_Os03g62510,"amine oxidase, flavin-containing, domain containing protein, expressed",PF01593,PTHR10668 PTHR10668:SF67,EC:5.2.1.13,NA,NA
Ceric.19G031200.1,1.0246438961336146,3.988314731882958,45.54137771385519,9.21628288639857e-5,3.1066286552086994e-4,GO:0000287 GO:0005524 GO:0005622 GO:0032957 GO:0047325 GO:0052725 GO:0052726,"magnesium ion binding; ATP binding; intracellular anatomical structure; inositol trisphosphate metabolic process; inositol-3,4,5,6-tetrakisphosphate 1-kinase activity; inositol-1,3,4-trisphosphate 6-kinase activity; inositol-1,3,4-trisphosphate 5-kinase activity",NA,NA,NA,NA,LOC_Os10g42550,"Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed",PF05770,PTHR14217 PTHR14217:SF5,EC:2.7.1.134 EC:2.7.1.159,NA,NA
Ceric.20G012900.1,-3.8732977223399447,-0.5552668753738962,32.9730995454371,9.217721268385022e-5,3.1066286552086994e-4,GO:0009055,electron transfer activity,NA,NA,Cre14.g629050,(1 of 1) PF02298 - Plastocyanin-like domain (Cu_bind_like),NA,NA,PF02298,PTHR33021,NA,NA,NA
Ceric.39G032400.1,1.2510189692041278,7.761926131514637,45.53769166278183,9.21774011389667e-5,3.1066286552086994e-4,GO:0003735 GO:0005622 GO:0005840 GO:0006412,structural constituent of ribosome; intracellular anatomical structure; ribosome; translation,AT4G18100,Ribosomal protein L32e,Cre06.g289550,Cytosolic 80S ribosomal protein L32,LOC_Os09g32500,"60S ribosomal protein L32, putative, expressed",PF01655,PTHR23413,NA,KOG0878,K02912
Ceric.09G021600.1,0.7979758607132883,5.91440168239437,45.51350071435259,9.236191633027553e-5,3.1123856082876443e-4,GO:0003735 GO:0006412 GO:0015935,structural constituent of ribosome; translation; small ribosomal subunit,AT2G37270,ribosomal protein 5B,Cre06.g290950,Cytosolic 80S ribosomal protein S5,LOC_Os01g01060,"40S ribosomal protein S5, putative, expressed",PF00177,PTHR11205 PTHR11205:SF24,NA,KOG3291,K02989
Ceric.33G035900.1,3.4642965955069505,-1.2760991290476702,34.691036761836955,9.25657116557747e-5,3.118790453963436e-4,NA,,AT3G18360,VQ motif-containing protein,NA,NA,NA,NA,PF05678,PTHR33143 PTHR33143:SF6,NA,NA,NA
Ceric.05G006700.1,1.8229466874467142,1.8362493901492465,45.48691514515418,9.275066142269003e-5,3.1245585362723823e-4,GO:0005515,protein binding,NA,NA,NA,NA,NA,NA,PF13180,PTHR22939 PTHR22939:SF81,EC:3.4.21.107,NA,NA
Ceric.15G018000.1,-5.058840761927075,0.42241255177423503,32.895282829809915,9.281532131772203e-5,3.1262732172236126e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.06G070300.1,1.4177460651816687,5.333520054898346,45.45248941675905,9.282916075080843e-5,3.1262758717723343e-4,NA,,NA,NA,NA,NA,NA,NA,PF08695,PTHR35114 PTHR35114:SF1,NA,NA,NA
Ceric.07G099200.1,-1.0834784157015491,3.633196000856686,45.44992123166367,9.288299679207165e-5,3.127625321059843e-4,NA,,AT1G62250,NA,Cre02.g141850,NA,LOC_Os03g53300,expressed protein,NA,PTHR37197 PTHR37197:SF1,NA,NA,NA
Ceric.23G058300.1,3.9690478270132674,0.7658521018346579,45.344260339886915,9.290124167150374e-5,3.12777609593197e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.31G067600.1,-0.9873218566489245,5.83403937115069,45.43574658520356,9.295940070300017e-5,3.129270446838733e-4,GO:0005525,GTP binding,AT1G80770,P-loop containing nucleoside triphosphate hydrolases superfamily protein,NA,NA,LOC_Os08g06230,"nucleolar GTP-binding protein 1, putative, expressed",PF06858,PTHR11702 PTHR11702:SF28,NA,NA,K06943
Ceric.15G020100.1,-2.1660182515689614,1.3974697022882874,45.787106845846324,9.304293364645924e-5,3.1316183844650483e-4,GO:0005515 GO:0007165,protein binding; signal transduction,AT4G23510,Disease resistance protein (TIR-NBS-LRR class) family,NA,NA,NA,NA,PF01582,NA,NA,NA,NA
Ceric.20G064400.1,-1.4056427906604572,3.7361013145534683,45.416254616446714,9.314261580953306e-5,3.133794924356014e-4,GO:0003677 GO:0004518,DNA binding; nuclease activity,AT4G30870,"Restriction endonuclease, type II-like superfamily protein",NA,NA,LOC_Os01g71960,"endonuclease, putative, expressed",PF02732,PTHR13451 PTHR13451:SF0,NA,NA,K08991
Ceric.22G043600.1,1.136218857848621,2.977017608744196,45.41493854345825,9.316081301249406e-5,3.133794924356014e-4,GO:0000287 GO:0004427 GO:0005737 GO:0006796,magnesium ion binding; inorganic diphosphate phosphatase activity; cytoplasm; phosphate-containing compound metabolic process,NA,NA,NA,NA,NA,NA,PF00719,NA,EC:3.6.1.1,NA,NA
Ceric.38G042700.1,-1.4489696038737503,3.62982603843376,45.41450099176229,9.31619152871536e-5,3.133794924356014e-4,GO:0042073,intraciliary transport,NA,NA,Cre05.g241637,Intraflagellar transport protein 46,NA,NA,PF12317,PTHR13376 PTHR13376:SF0,NA,NA,NA
Ceric.21G067300.1,-1.1876522505562723,5.904227381096093,45.40881806547432,9.316677344398694e-5,3.133794924356014e-4,GO:0005515 GO:0008270,protein binding; zinc ion binding,AT5G22000,RING-H2 group F2A,NA,NA,LOC_Os03g57500,"zinc finger, C3HC4 type domain containing protein, expressed",PF13639,PTHR22763 PTHR22763:SF45,NA,KOG1493,K19043
Ceric.14G069200.1,-0.6946606098939594,5.2611231724552345,45.407816766213244,9.317656901283012e-5,3.133794924356014e-4,GO:0003676 GO:0006397 GO:0046872,nucleic acid binding; mRNA processing; metal ion binding,AT3G27700,zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein,NA,NA,LOC_Os04g32340,"RNA-binding motif protein, putative, expressed",PF01480 PF13893,PTHR14398 PTHR14398:SF0,NA,KOG2135,K13192
Ceric.05G069100.1,2.1627962836815473,1.6192880261441036,45.441216898368566,9.323156483114459e-5,3.13518046388214e-4,NA,,NA,NA,NA,NA,NA,NA,PF04844,PTHR33057 PTHR33057:SF28,NA,NA,NA
Ceric.02G048300.1,0.9921661267789971,5.281861836718756,45.3849390597972,9.334937146030647e-5,3.138677475516801e-4,NA,,AT4G24090,NA,Cre02.g144850,Conserved in the Green Lineage and Diatoms,LOC_Os09g35990,expressed protein,NA,PTHR36383,NA,NA,NA
Ceric.01G110800.1,1.3259003239017007,4.009283878639951,45.36571681488743,9.35114365753526e-5,3.1436613310971233e-4,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; ",NA,NA,NA,NA,LOC_Os05g25640,"cytochrome P450, putative, expressed",PF00067,PTHR24298 PTHR24298:SF56,EC:1.14.13.11,KOG0156,NA
Ceric.32G010800.1,-0.7666535892557892,5.330565308157464,45.35534799059146,9.358217744248471e-5,3.145574033608241e-4,GO:0008565 GO:0015031 GO:0030904 GO:0042147,"; protein transport; retromer complex; retrograde transport, endosome to Golgi",AT1G75850,VPS35 homolog B,Cre01.g029650,Subunit of Retromer complex,LOC_Os03g58700,"vacuolar protein sorting-associated protein 35, putative, expressed",PF03635,PTHR11099 PTHR11099:SF1,NA,NA,K18468
Ceric.21G016500.1,1.5690683880645622,3.392333656285374,45.344964864108256,9.36919960336846e-5,3.148799493919054e-4,GO:0016491 GO:0055114,oxidoreductase activity; ,AT1G07180,alternative  NAD(P)H dehydrogenase 1,Cre16.g691552,Type-II NADH dehydrogenase,LOC_Os01g61410,"NADH-ubiquinone oxidoreductase, mitochondrial precursor, putative, expressed",PF00070,PTHR22912 PTHR22912:SF180,EC:1.6.5.9,KOG2495,K17871
Ceric.17G005100.1,1.6213611446859648,2.8148367455437033,45.33765905571206,9.377071453531658e-5,3.150978943244871e-4,GO:0005509,calcium ion binding,NA,NA,NA,NA,NA,NA,PF13499,PTHR10891,NA,KOG0027,K02183 K13448
Ceric.02G066500.1,-2.8426229591795655,1.005911840181741,45.132863305850265,9.385126348131387e-5,3.1532192473114016e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.09G029300.1,0.82793781689656,6.292947000832886,45.3057165018767,9.396366412105198e-5,3.1565288853558775e-4,GO:0003984 GO:0008152 GO:0009082 GO:0016597,acetolactate synthase activity; metabolic process; branched-chain amino acid biosynthetic process; amino acid binding,AT5G16290,VALINE-TOLERANT 1,Cre01.g055453,"Acetolactate synthase, small subunit",LOC_Os02g39570,"ACT domain containing protein, expressed",PF01842 PF10369 PF13710,PTHR30239 PTHR30239:SF6,EC:2.2.1.6,KOG2663,K01653
Ceric.23G050300.1,0.9165115711328964,5.5260149742939095,45.277930122738105,9.418071741506492e-5,3.16335263003084e-4,GO:0010277 GO:0016491 GO:0051537 GO:0055114,"chlorophyllide a oxygenase activity; oxidoreductase activity; 2 iron, 2 sulfur cluster binding; ",AT4G25650,ACD1-like,Cre10.g450550,Pheophorbide a oxygenase-related protein,LOC_Os03g59110,"pheophorbide a oxygenase, chloroplast precursor, putative, expressed",PF00355 PF08417,PTHR21266 PTHR21266:SF25,EC:1.14.12.20,NA,NA
Ceric.24G074500.1,2.564377872301877,1.77794343624868,45.31919349362843,9.424242586604326e-5,3.164957388397098e-4,GO:0005515,protein binding,NA,NA,NA,NA,NA,NA,PF00168,PTHR10774,NA,NA,NA
Ceric.04G000600.1,4.975417626091892,-0.8406754426334307,32.61615934775386,9.43000048169881e-5,3.166080496467307e-4,GO:0004672 GO:0004674 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,NA,NA,NA,NA,NA,NA,PF00069 PF01453,PTHR27002,EC:2.7.11.1,KOG1187,NA
Ceric.03G005400.1,1.746113786308749,3.0036765270318804,45.26802725603612,9.430374012762123e-5,3.166080496467307e-4,GO:0003824 GO:0016740,catalytic activity; transferase activity,NA,NA,Cre02.g105150,(1 of 1) 4.1.1.19 - Arginine decarboxylase / L-arginine carboxy-lyase,NA,NA,PF03711 PF05889,PTHR11751 PTHR11751:SF435,EC:4.1.1.19,NA,NA
Ceric.07G003900.1,5.599171105181777,-0.9622826819550006,41.38862168358321,9.448717303566966e-5,3.1712695580323375e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.1Z104700.1,0.7936188114783375,5.425458970602345,45.237256606964564,9.449920776954959e-5,3.1712695580323375e-4,NA,,AT1G30130,(1 of 1) PF07103 - Protein of unknown function (DUF1365) (DUF1365),Cre06.g269300,Conserved in the Green Lineage,LOC_Os07g05870,expressed protein,PF07103,PTHR33973 PTHR33973:SF1,NA,NA,NA
Ceric.01G113900.1,-1.2423086313197498,3.974024217382638,45.2399686596456,9.450017565860701e-5,3.1712695580323375e-4,GO:0008152 GO:0016597,metabolic process; amino acid binding,NA,NA,Cre01.g012900,(1 of 2) 2.7.7.59 - [Protein-PII] uridylyltransferase / Uridylyl removing enzyme,LOC_Os02g34990,"ACT domain containing protein, putative, expressed",PF01842,PTHR31096 PTHR31096:SF15,EC:2.7.7.59,NA,NA
Ceric.06G010300.1,-1.1925609429384425,3.0423459061313247,45.244408817579234,9.451529485842785e-5,3.171308497841711e-4,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; ",NA,NA,NA,NA,NA,NA,PF00067,PTHR24298,EC:1.14.13.21,KOG0156,NA
Ceric.13G090900.1,0.8479371805442583,4.704387967017809,45.232196488941554,9.454487105037005e-5,3.171832435607438e-4,GO:0003690 GO:0005739 GO:0006355,double-stranded DNA binding; mitochondrion; regulation of DNA-templated transcription,AT2G44020,Mitochondrial transcription termination factor family protein,NA,NA,LOC_Os02g54200,"mitochondrial transcription termination factor family protein, putative, expressed",PF02536,PTHR13068 PTHR13068:SF8,NA,KOG1267,K15032
Ceric.17G045700.1,0.8781157549178811,8.394638284381767,45.216830251759724,9.465917414499233e-5,3.1751982539496244e-4,GO:0005509 GO:0005783 GO:0006457 GO:0051082,calcium ion binding; endoplasmic reticulum; protein folding; unfolded protein binding,AT5G61790,calnexin 1,Cre07.g357900,(1 of 1) K08054 - calnexin (CANX),LOC_Os04g32950,"calreticulin precursor protein, putative, expressed",PF00262,PTHR11073 PTHR11073:SF1,NA,KOG0675,K08054
Ceric.06G076100.1,1.3124696875334034,5.584445661359985,45.199889351455305,9.479289420414379e-5,3.1792142949866296e-4,GO:0005783 GO:0016021 GO:0072546,endoplasmic reticulum; ; EMC complex,AT5G49540,Rab5-interacting family protein,Cre14.g614250,Putative Rab5-interacting protein,LOC_Os01g49026,"transmembrane protein 93, putative, expressed",PF07019,PTHR20994 PTHR20994:SF0,NA,KOG4455,NA
Ceric.26G038700.1,0.898620047943398,6.58207825392618,45.18550812865184,9.490589875560202e-5,3.182534485355753e-4,NA,,AT5G22620,phosphoglycerate/bisphosphoglycerate mutase family protein,Cre05.g232550,phosphoglycerate mutase,LOC_Os11g05260,"phosphoglycerate mutase, putative, expressed",PF00300,PTHR23029 PTHR23029:SF43,EC:3.1.3.63,KOG0235,K15634
Ceric.17G010600.1,-1.8577809363442248,1.6966246042524453,45.305971071404045,9.513368766243206e-5,3.1897022579734265e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.33G043800.1,-1.918048347997114,2.7549340142148027,45.175599289808765,9.517884972735623e-5,3.190281364816376e-4,GO:0016020 GO:0016021 GO:0022857,membrane; ; transmembrane transporter activity,AT3G18200,nodulin MtN21 /EamA-like transporter family protein,NA,NA,NA,NA,PF00892,PTHR31218,NA,NA,NA
Ceric.09G086000.1,0.7661860868487328,6.014517166945072,45.1503060707148,9.51841397288799e-5,3.190281364816376e-4,GO:0016491 GO:0055114,oxidoreductase activity; ,AT1G60710,NAD(P)-linked oxidoreductase superfamily protein,Cre11.g467622,(1 of 1) 1.1.1.317 - Perakine reductase,LOC_Os04g26910,"oxidoreductase, aldo/keto reductase family protein, putative, expressed",PF00248,PTHR11732 PTHR11732:SF226,EC:1.1.1.317,KOG1575,NA
Ceric.03G032900.1,2.8861778252911527,0.07287166355281448,45.494533604685095,9.51930867207633e-5,3.190281364816376e-4,NA,,AT5G20590,TRICHOME BIREFRINGENCE-LIKE 5,NA,NA,LOC_Os06g44900,"leaf senescence related protein, putative, expressed",PF13839 PF14416,PTHR32285,NA,NA,NA
Ceric.17G009900.1,1.652666172366431,6.136723134870479,45.137881937109356,9.528258111009502e-5,3.1926165776977527e-4,GO:0004601 GO:0006979 GO:0020037 GO:0055114,peroxidase activity; response to oxidative stress; heme binding; ,AT3G17070,Peroxidase family protein,NA,NA,NA,NA,PF00141,PTHR31235,EC:1.11.1.7,NA,K00430
Ceric.34G050800.1,2.728219743953846,3.7906437005278164,45.14175150976537,9.52908711359147e-5,3.1926165776977527e-4,NA,,NA,NA,NA,NA,NA,NA,NA,PTHR33287,NA,NA,NA
Ceric.34G043500.1,0.867888612891647,8.29600899935417,45.11311385693761,9.547888797687749e-5,3.1982571459661504e-4,GO:0003735 GO:0005622 GO:0005840 GO:0006412,structural constituent of ribosome; intracellular anatomical structure; ribosome; translation,AT5G04800,Ribosomal S17 family protein,Cre12.g498250,Cytosolic 80S ribosomal protein S17,LOC_Os03g01900,"40S ribosomal protein S17, putative, expressed",PF00833,PTHR10732,NA,KOG0187,K02962
Ceric.24G034600.1,-1.0205755526307467,4.750702467241503,45.11321499016413,9.548738157968396e-5,3.1982571459661504e-4,GO:0005215 GO:0005622 GO:0006810,transporter activity; intracellular anatomical structure; transport,NA,NA,Cre02.g141950,Predicted protein,NA,NA,PF00650,PTHR23324 PTHR23324:SF56,NA,KOG1471,NA
Ceric.02G114500.1,-2.212219870142656,1.9043950927362558,45.27123881180691,9.555961536706145e-5,3.200204748709123e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.19G007400.1,1.472730151533607,3.9076505748380352,45.08207271816436,9.574547206147995e-5,3.205956344531707e-4,NA,,NA,NA,NA,NA,NA,NA,PF00249,PTHR10641 PTHR10641:SF473,NA,NA,K09422
Ceric.1Z161000.1,-1.1503953480584728,3.6888438568052746,45.07785060304262,9.579131046484482e-5,3.207018541778381e-4,NA,,NA,NA,NA,NA,NA,NA,PF13837,NA,NA,NA,NA
Ceric.14G020600.1,0.9522348399726924,7.932480886326132,45.06113872885692,9.589295086096132e-5,3.209948358052424e-4,GO:0005741 GO:0055085,mitochondrial outer membrane; transmembrane transport,AT3G01280,voltage dependent anion channel 1,Cre05.g241950,Voltage-dependent anion-selective channel protein,LOC_Os01g40570,"outer mitochondrial membrane porin, putative, expressed",PF01459,PTHR11743 PTHR11743:SF31,NA,KOG3126,K15040
Ceric.04G015600.1,-1.1161288449031839,7.05644303130188,45.04040101123573,9.605887195368475e-5,3.2150287447197464e-4,GO:0003849 GO:0009073,3-deoxy-7-phosphoheptulonate synthase activity; aromatic amino acid family biosynthetic process,NA,NA,Cre17.g726750,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,NA,NA,PF01474,PTHR21337 PTHR21337:SF6,EC:2.5.1.54,NA,K01626
Ceric.04G102400.1,0.8652735927050409,4.59237738359544,45.02948067969194,9.615467444982462e-5,3.2177611560252844e-4,GO:0005794 GO:0015780,Golgi apparatus; nucleotide-sugar transmembrane transport,AT1G76340,golgi nucleotide sugar transporter 3,Cre06.g305900,"Putative GDP-fucose transporter, conserved in the plant lineage and diatoms",LOC_Os03g11590,"integral membrane protein, putative, expressed",PF03151,PTHR11132 PTHR11132:SF34,NA,KOG1444,NA
Ceric.14G063500.1,0.7661487956806675,5.905327049055077,45.020852546272224,9.62156296991076e-5,3.2193267910663115e-4,GO:0016491 GO:0055114,oxidoreductase activity; ,AT3G27820,monodehydroascorbate reductase 4,Cre17.g712100,monodehydroascorbate reductase,LOC_Os02g47800,"monodehydroascorbate reductase, putative, expressed",PF00070,PTHR22912 PTHR22912:SF170,EC:1.6.5.4,KOG1336,K08232
Ceric.04G006700.1,0.9503388069692796,4.709778795814045,45.00309653064412,9.636446213887142e-5,3.223303754728186e-4,GO:0008152 GO:0016491,metabolic process; oxidoreductase activity,AT4G27760,NAD(P)-binding Rossmann-fold superfamily protein,Cre11.g480650,Short-chain dehydrogenase/reductase,LOC_Os02g02470,"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed",PF00106,PTHR24320 PTHR24320:SF73,EC:1.1.1.105 EC:1.1.1.300,KOG1208,NA
Ceric.09G061700.1,-1.1197471918057167,3.5576121606342466,45.006480446301296,9.637010555296134e-5,3.223303754728186e-4,GO:0005515 GO:0008270,protein binding; zinc ion binding,NA,NA,Cre16.g680117,"(1 of 1) K15692 - E3 ubiquitin-protein ligase RNF13 [EC:6.3.2.19] (RNF13, RZF)",NA,NA,PF02225 PF13639,PTHR22765 PTHR22765:SF5,NA,KOG4628,K15692
Ceric.34G051200.1,2.6326629412319047,2.7473104612642545,45.01601213892997,9.637705183268879e-5,3.223303754728186e-4,NA,,NA,NA,NA,NA,NA,NA,NA,PTHR33287 PTHR33287:SF3,NA,NA,NA
Ceric.17G000400.1,-1.587457942629652,2.3888984081894153,45.02713569511922,9.640417456509009e-5,3.223736299594174e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.34G026700.1,1.0619609447122509,3.193162707637122,44.9931998031284,9.646979178027665e-5,3.2254557755056736e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.03G031700.1,-0.9212493598949371,4.597588336186275,44.96378748991112,9.668569534397732e-5,3.2321988118302246e-4,NA,,AT4G24530,O-fucosyltransferase family protein,NA,NA,LOC_Os09g24570,"growth regulator related protein, putative, expressed",PF10250,PTHR31933 PTHR31933:SF3,NA,NA,NA
Ceric.12G057100.1,-0.7094798278084359,5.646110206055863,44.953754752927246,9.675775612892867e-5,3.234131913334016e-4,GO:0009058 GO:0030170 GO:0045454,biosynthetic process; pyridoxal phosphate binding; cell redox homeostasis,AT4G36480,long-chain base1,Cre03.g146507,Serine palmitoyltransferase,LOC_Os02g56300,"aminotransferase, classes I and II, domain containing protein, expressed",PF00085 PF00155 PF13848,PTHR13693 PTHR13693:SF2,EC:2.3.1.50,KOG1358,K00654
Ceric.15G049700.1,4.257818066691024,-0.9976425105375508,32.345759433715536,9.68328251436828e-5,3.235931079084022e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.30G047700.1,2.8360868129331447,0.1803314847189067,45.39733653610141,9.68400695747712e-5,3.235931079084022e-4,GO:0008080,N-acetyltransferase activity,NA,NA,NA,NA,NA,NA,PF00583,PTHR23091 PTHR23091:SF211,NA,NA,NA
Ceric.29G048900.1,-1.0504542760712106,3.907143755632388,44.94324936056452,9.686323260401989e-5,3.236229090486364e-4,GO:0016021 GO:0016757,; glycosyltransferase activity,NA,NA,NA,NA,NA,NA,PF05637,PTHR31306,EC:2.4.2.39,NA,K05531
Ceric.35G007700.1,2.4463231913985224,7.832869993940045,44.92501209641287,9.69879180077837e-5,3.2399184079088926e-4,NA,,NA,NA,NA,NA,NA,NA,PF04398,PTHR31676 PTHR31676:SF10,NA,NA,NA
Ceric.11G003300.1,1.6754816675736122,1.653148236073607,44.94078976482113,9.7082523679801e-5,3.242601963365773e-4,GO:0005515,protein binding,AT1G33670,Leucine-rich repeat (LRR) family protein,NA,NA,NA,NA,PF13855,PTHR27000,EC:2.7.11.1,NA,NA
Ceric.37G069400.1,-0.9384314090551569,4.5503765861842425,44.909049707977736,9.712884202585676e-5,3.243672147560547e-4,GO:0003824 GO:0004722 GO:0006470,catalytic activity; protein serine/threonine phosphatase activity; protein dephosphorylation,NA,NA,NA,NA,NA,NA,PF00481,PTHR13832 PTHR13832:SF228,EC:3.1.3.16,KOG0700,NA
Ceric.08G049200.1,-0.7393937607647987,5.99158250911533,44.8975948945376,9.721063116039736e-5,3.245926409954538e-4,GO:0005515 GO:0006355 GO:0008270 GO:0042393,protein binding; regulation of DNA-templated transcription; zinc ion binding; histone binding,AT5G20510,alfin-like 5,Cre10.g441050,(1 of 2) PTHR12321//PTHR12321:SF55 - CPG BINDING PROTEIN // PHD FINGER PROTEIN ALFIN-LIKE 4,LOC_Os07g41740,"PHD finger protein, putative, expressed",PF00628 PF12165,PTHR12321 PTHR12321:SF55,NA,KOG1632,NA
Ceric.15G026000.1,2.1120239328023893,1.2801835824818946,44.946722782638915,9.733787391478337e-5,3.2496975128140534e-4,NA,,NA,NA,NA,NA,NA,NA,NA,PTHR27003,EC:2.7.11.1,NA,NA
Ceric.28G062300.1,1.1130037585631778,3.758150676284999,44.8744725457283,9.741539376598065e-5,3.251807715206163e-4,NA,,AT3G14110,Tetratricopeptide repeat (TPR)-like superfamily protein,Cre10.g460050,"FLU protein, chloroplast precursor",LOC_Os01g32730,"tetratricopeptide repeat containing protein, putative, expressed",PF13424,PTHR10098 PTHR10098:SF117,NA,NA,NA
Ceric.29G001600.1,-1.104137538464796,4.874455046679721,44.85341386846327,9.757914147940432e-5,3.256795233246051e-4,GO:0003676,nucleic acid binding,AT1G03250,(1 of 1) PTHR32019:SF2 - R3H DOMAIN-CONTAINING PROTEIN 4,NA,NA,LOC_Os11g04990,expressed protein,PF01424 PF13902,PTHR32019,NA,NA,NA
Ceric.21G064000.1,0.8671011116090928,4.845643024697272,44.84772493741523,9.761919410076495e-5,3.257653452960163e-4,NA,,NA,NA,NA,NA,NA,NA,PF06094,NA,NA,NA,NA
Ceric.01G100800.1,-0.9225783574895488,5.547743295325248,44.83025676392375,9.776344766175431e-5,3.2619882030068966e-4,GO:0005509 GO:0008152 GO:0016746,calcium ion binding; metabolic process; acyltransferase activity,AT2G45670,calcineurin B subunit-related,NA,NA,LOC_Os06g49790,"acyltransferase, putative, expressed",PF01553 PF13833,PTHR23063 PTHR23063:SF9,EC:2.3.1.25,KOG4666,K13510
Ceric.26G058500.1,-0.9263819529465592,6.461657375657395,44.822780817053285,9.782049781254613e-5,3.263412466671418e-4,GO:0005515 GO:0008270,protein binding; zinc ion binding,NA,NA,NA,NA,NA,NA,PF13639,PTHR22937,NA,NA,NA
Ceric.03G039200.1,-0.7373523758294457,4.931752527207222,44.81961533059638,9.7853125062451e-5,3.263978465032112e-4,NA,,AT1G64570,Homeodomain-like superfamily protein,NA,NA,LOC_Os03g46950,"DNA binding protein, putative, expressed",NA,PTHR16088,NA,NA,NA
Ceric.38G037200.1,1.0031668373948353,5.448422155482731,44.81722947340499,9.78661970324343e-5,3.263978465032112e-4,GO:0003824 GO:0004722 GO:0006470,catalytic activity; protein serine/threonine phosphatase activity; protein dephosphorylation,NA,NA,Cre01.g030200,Flagellar Associated Protein 6,NA,NA,PF00481,PTHR13832 PTHR13832:SF286,EC:3.1.3.16,KOG0698,NA
Ceric.17G029900.1,-1.1086250546919403,6.399658023695771,44.806723714200814,9.795209744529001e-5,3.2663633023133896e-4,GO:0005515,protein binding,AT5G21090,Leucine-rich repeat (LRR) family protein,Cre11.g467642,(1 of 2) PTHR27000//PTHR27000:SF119 - FAMILY NOT NAMED // LEUCINE-RICH REPEAT RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE BAM2-RELATED,LOC_Os01g59440,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed",PF08263 PF13855,PTHR27001 PTHR27001:SF224,EC:2.7.10.1 EC:2.7.11.1,KOG4579,NA
Ceric.22G053900.1,-1.0418893813485077,3.5344445224054577,44.80967566609019,9.796645777526931e-5,3.2663633023133896e-4,GO:0005515,protein binding,NA,NA,NA,NA,NA,NA,PF00646,PTHR32133 PTHR32133:SF111,NA,NA,NA
Ceric.36G052700.1,-1.2877830048139782,3.927406590907888,44.80475883591476,9.799503337675116e-5,3.2668366299140275e-4,GO:0005634 GO:0006260 GO:0010212 GO:0033314,nucleus; DNA replication; response to ionizing radiation; mitotic DNA replication checkpoint signaling,AT5G52950,NA,NA,NA,NA,NA,NA,PTHR21556,NA,NA,NA
Ceric.13G018500.1,1.9490119483175032,2.0398203448368557,44.78424243884643,9.83013282493894e-5,3.276566720214023e-4,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
